City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Welkom,36,ZA,1603248986,70,-27.99,26.71,61.03,13.91
Rāmgarh,0,IN,1603248980,83,23.63,85.52,73.4,2.84
Port Blair,48,IN,1603248987,78,11.67,92.75,83.46,15.23
Estación Coahuila,5,MX,1603248988,14,32.19,-115.0,87.8,4.7
Brigantine,90,US,1603248988,100,39.41,-74.36,62.6,3.36
Verkh-Suetka,2,RU,1603248988,59,53.3,80.05,42.21,10.42
Tazovsky,100,RU,1603248989,98,67.47,78.7,20.44,16.75
Castro,41,BR,1603248826,91,-24.79,-50.01,62.1,5.55
Kontagora,0,NG,1603248990,66,10.4,5.47,73.72,3.11
Sola,46,VU,1603248990,80,-13.88,167.55,79.52,13.02
Doha,0,QA,1603248990,57,25.29,51.53,78.8,5.82
Māngrol,11,IN,1603248991,75,21.12,70.12,83.48,6.89
Ellisras,0,ZA,1603248991,57,-23.66,27.74,68.94,20.02
George,0,ZA,1603248991,93,-33.96,22.46,48.2,3.36
Tete,1,MZ,1603248992,44,-16.16,33.59,77.0,5.35
Dombarovskiy,72,RU,1603248992,75,50.76,59.54,38.25,12.95
Sindou,25,BF,1603248992,81,10.67,-5.17,73.47,2.1
Xinqing,98,CN,1603248993,52,48.23,129.5,56.95,16.15
Chilia Veche,0,RO,1603248993,70,45.42,29.28,37.4,4.72
Chokurdakh,61,RU,1603248993,96,70.63,147.92,8.89,4.79
Porto-Novo,72,BJ,1603248994,92,6.5,2.6,77.05,5.93
Tabory,2,RU,1603248994,99,58.52,64.55,29.23,4.68
Norman Wells,90,CA,1603248995,85,65.28,-126.83,23.0,16.11
Suntar,66,RU,1603248995,92,62.14,117.63,23.16,4.85
Muros,76,ES,1603248843,91,42.78,-9.06,59.0,11.01
Brae,100,GB,1603248995,81,60.4,-1.35,48.2,27.51
Bitkine,0,TD,1603248996,28,11.98,18.21,76.37,2.48
Saint George,1,US,1603248731,11,37.1,-113.58,75.2,4.7
Gweru,0,ZW,1603248996,33,-19.45,29.82,63.7,6.53
Alice Springs,20,AU,1603248763,21,-23.7,133.88,95.0,20.8
Yeppoon,90,AU,1603248997,51,-23.13,150.73,82.4,12.75
Hammerfest,3,NO,1603248997,92,70.66,23.68,24.8,6.93
Port Pirie,32,AU,1603248997,43,-33.18,138.02,73.4,6.93
Yuli,48,NG,1603248997,69,9.7,10.27,73.72,0.89
La Ronge,90,CA,1603248998,73,55.1,-105.28,24.8,4.7
Iskateley,98,RU,1603248889,98,67.68,53.15,28.29,11.27
Lake City,75,US,1603248998,100,30.19,-82.64,73.99,4.7
Dassel,100,DE,1603248998,88,51.8,9.69,53.01,8.08
Kavieng,99,PG,1603248999,78,-2.57,150.8,81.48,8.61
Dejen,0,ET,1603248999,79,10.17,38.13,48.04,3.67
Arrondissement de Laon,100,FR,1603249000,87,49.57,3.67,54.0,9.17
Cabo San Lucas,5,MX,1603249000,83,22.89,-109.91,84.0,12.75
Santa Fe,100,AR,1603248860,73,-31.63,-60.7,57.99,8.01
Nadym,100,RU,1603249001,98,65.53,72.52,26.26,4.88
Morant Bay,20,JM,1603249001,83,17.88,-76.41,78.8,8.05
Concordia,91,AR,1603249002,74,-31.39,-58.02,55.0,11.99
Najrān,0,SA,1603249002,29,17.49,44.13,60.8,2.24
Niamey,0,NE,1603249002,27,13.51,2.11,86.23,10.54
Roald,100,NO,1603249002,93,62.58,6.13,41.0,14.99
Karavayevo,75,RU,1603249003,74,55.3,37.96,35.6,8.95
Talara,1,PE,1603249003,85,-4.58,-81.27,64.45,14.32
Usoke,54,TZ,1603249003,81,-5.17,32.35,68.47,1.1
Kahului,20,US,1603248777,40,20.89,-156.47,89.6,11.41
Labuhan,28,ID,1603249004,60,-6.88,112.21,86.97,4.7
Fairbanks,90,US,1603248794,85,64.84,-147.72,23.0,0.72
Pontes e Lacerda,100,BR,1603249004,88,-15.23,-59.34,72.86,2.24
Skellefteå,100,SE,1603249004,92,64.75,20.95,30.2,8.05
Gravdal,13,NO,1603249005,72,68.12,13.5,39.18,10.25
Lubango,9,AO,1603249005,60,-14.92,13.49,60.37,1.95
Cockburn Town,89,TC,1603248767,79,21.46,-71.14,81.63,14.76
Naze,75,JP,1603248921,74,28.37,129.48,80.6,16.11
Hervey Bay,90,AU,1603249005,47,-25.3,152.85,78.8,10.29
Cururupu,88,BR,1603249006,86,-1.83,-44.87,75.83,3.74
Iquique,90,CL,1603248939,68,-20.22,-70.14,64.4,3.36
Airai,18,TL,1603249006,33,-8.93,125.41,81.3,5.48
Santarém,20,BR,1603249007,78,-2.44,-54.71,80.6,4.7
Baykit,99,RU,1603249007,94,61.67,96.37,26.55,2.33
Nampa,82,US,1603249007,58,43.54,-116.56,55.99,0.83
Vao,99,NC,1603249008,83,-22.67,167.48,73.47,13.22
Pathein,100,MM,1603249009,92,16.78,94.73,77.88,14.7
Eyrarbakki,40,IS,1603249009,82,63.86,-21.15,37.4,5.82
Lander,1,US,1603249009,49,42.83,-108.73,46.4,1.36
Omboué,100,GA,1603249010,88,-1.57,9.26,76.53,6.35
Poções,97,BR,1603249010,97,-14.53,-40.37,65.01,4.5
Colinas,95,BR,1603248922,45,-6.03,-44.25,81.86,0.98
Kochevo,97,RU,1603249010,99,59.6,54.31,31.14,4.07
Vetlanda,100,SE,1603249011,100,57.43,15.08,48.2,8.05
Dikson,93,RU,1603249011,97,73.51,80.55,24.39,4.59
Rovaniemi,75,FI,1603249011,100,66.5,25.72,23.0,0.51
Olivenza,27,ES,1603249012,88,38.68,-7.1,60.01,3.0
Port Hardy,75,CA,1603249012,87,50.7,-127.42,46.4,2.24
Vila Velha,75,BR,1603249013,94,-20.33,-40.29,72.0,5.82
Goderich,100,CA,1603249013,84,43.75,-81.72,46.0,17.6
Nikolskoye,90,RU,1603249014,92,59.7,30.79,30.99,2.24
Taveta,28,KE,1603249014,80,-3.4,37.67,66.29,2.08
Mandlā,3,IN,1603249014,71,22.6,80.38,78.37,3.31
Ancud,0,CL,1603249014,75,-41.87,-73.82,45.0,9.17
Kavos,100,GR,1603249015,87,38.83,22.83,59.0,1.01
Anadyr,90,RU,1603249015,70,64.75,177.48,44.6,17.9
Bourail,65,NC,1603249016,60,-21.57,165.48,78.04,5.53
Taoudenni,0,ML,1603249016,19,22.68,-3.98,77.61,10.16
Khandyga,100,RU,1603249016,88,62.67,135.6,19.44,5.41
Loikaw,81,MM,1603249016,81,19.67,97.21,71.47,2.71
Parfino,100,RU,1603249017,95,57.97,31.65,32.54,3.78
Laas,20,IT,1603249017,93,46.62,10.7,48.99,5.82
Sydney,20,AU,1603248672,53,-33.87,151.21,73.99,23.04
Mahibadhoo,80,MV,1603249017,78,3.78,72.97,82.69,13.49
Angoche,0,MZ,1603249018,88,-16.23,39.91,72.86,5.3
Cardston,20,CA,1603249018,92,49.2,-113.3,35.6,3.36
Epe,73,NG,1603249019,96,6.58,3.98,75.87,3.74
Caravelas,99,BR,1603249019,94,-17.71,-39.25,72.61,1.14
Ghanzi,27,BW,1603248905,24,-21.57,21.78,68.36,10.2
Chifeng,0,CN,1603248854,49,42.27,118.96,45.68,17.98
Esik,0,KZ,1603249019,29,43.36,77.45,51.8,2.24
Tuatapere,48,NZ,1603248736,59,-46.13,167.68,57.0,11.01
Saraza,79,PH,1603249020,69,8.74,117.78,85.98,12.71
Pinega,99,RU,1603248947,98,64.7,43.39,30.63,8.21
Río Gallegos,66,AR,1603248897,52,-51.62,-69.22,44.6,27.51
Mpraeso,99,GH,1603249021,100,6.59,-0.73,69.85,3.29
Lae,60,PG,1603249021,58,-6.72,146.98,86.41,8.01
Pangnirtung,100,CA,1603248813,94,66.15,-65.71,24.84,3.85
Teknāf,53,BD,1603248763,72,20.86,92.31,84.54,6.78
Mozarlândia,100,BR,1603248739,63,-14.74,-50.57,78.6,4.63
Kruisfontein,0,ZA,1603249022,91,-34.0,24.73,46.99,1.01
Kehtna,100,EE,1603249022,99,58.93,24.88,37.99,1.01
Los Llanos de Aridane,20,ES,1603249022,50,28.66,-17.92,75.2,5.82
Ginir,78,ET,1603249023,72,7.13,40.7,57.69,3.18
Hailar,100,CN,1603249023,98,49.2,119.7,30.18,18.34
Tocopilla,21,CL,1603249023,65,-22.09,-70.2,58.86,1.68
Srednekolymsk,69,RU,1603249023,96,67.45,153.68,18.99,4.34
Khuzdar,0,PK,1603249024,21,27.74,66.64,62.42,4.38
Boguchany,100,RU,1603249024,83,58.38,97.45,36.27,8.37
Palaia Fokaia,40,GR,1603249024,67,37.72,23.95,62.6,27.22
Arni,98,IN,1603249024,77,12.67,79.28,79.7,6.73
Bubaque,25,GW,1603249025,83,11.28,-15.83,81.37,12.44
Linqiong,95,CN,1603249025,82,30.42,103.46,66.0,2.24
Gizo Government Station,94,SB,1603249025,74,-8.1,156.84,83.34,13.8
Vilhena,68,BR,1603249026,87,-12.74,-60.15,70.88,1.21
Shiyan,26,CN,1603249026,48,32.65,110.78,69.44,6.91
Palmer,75,US,1603249026,100,42.16,-72.33,61.0,4.7
Oddur,35,SO,1603249026,88,4.12,43.89,71.94,8.37
Vitorino Freire,14,BR,1603248786,78,-4.07,-45.17,77.72,5.41
Lola,2,GN,1603249027,96,7.8,-8.53,68.29,0.6
Ust'-Kulom,99,RU,1603249027,99,61.69,53.69,29.89,3.02
Khilok,100,RU,1603249028,84,51.37,110.47,26.67,10.56
Morgan City,1,US,1603249028,88,29.7,-91.21,75.2,4.7
Buala,98,SB,1603248831,61,-8.14,159.59,87.37,5.01
Marquette,100,US,1603249029,91,46.53,-87.63,34.0,1.01
Kamphaeng Phet,100,TH,1603249029,94,16.25,99.5,72.45,5.26
Elwood,75,AU,1603248880,63,-37.88,144.98,64.0,9.17
La Grande,90,US,1603249030,54,45.32,-118.09,53.6,6.93
Namatanai,65,PG,1603248758,73,-3.67,152.43,82.71,3.22
Ust-Nera,49,RU,1603249031,86,64.57,143.2,12.78,2.08
Konya Province,40,TR,1603249031,87,38.17,32.5,53.6,11.41
Kamaishi,20,JP,1603249032,58,39.27,141.88,59.0,3.36
Beringovskiy,55,RU,1603249032,86,63.05,179.32,40.89,11.95
Tual,100,ID,1603248980,86,-5.67,132.75,77.83,8.86
Francisco Beltrão,0,BR,1603249032,68,-26.08,-53.05,67.66,3.56
Viana,75,BR,1603249033,94,-20.39,-40.5,72.0,5.82
Homer,1,US,1603249033,75,59.64,-151.55,42.8,3.36
Port Alfred,0,ZA,1603249033,75,-33.59,26.89,54.7,6.33
Benalla,40,AU,1603249034,43,-36.55,145.98,71.6,5.82
Passo de Camaragibe,20,BR,1603249034,88,-9.24,-35.49,71.6,1.12
Athens,75,GR,1603248391,72,37.98,23.72,62.01,10.29
Quatre Cocos,40,MU,1603248746,83,-20.21,57.76,77.0,10.29
Nauta,94,PE,1603249035,83,-4.51,-73.58,75.61,2.46
Kenai,1,US,1603249035,56,60.55,-151.26,42.8,4.7
Oak Harbor,75,US,1603249035,71,48.29,-122.64,53.6,12.75
Kiruna,13,SE,1603249036,100,67.86,20.23,23.0,1.03
Sayyan,0,YE,1603249036,46,15.17,44.32,49.5,5.17
Vallenar,0,CL,1603248998,48,-28.57,-70.76,58.05,0.54
Tiquisate,100,GT,1603249037,99,14.28,-91.37,66.0,3.38
Gogrial,52,SS,1603249038,85,8.53,28.1,71.96,4.63
Ukiah,1,US,1603248850,29,39.15,-123.21,77.0,2.73
Comodoro Rivadavia,97,AR,1603249038,70,-45.87,-67.5,46.4,5.82
Grand-Lahou,100,CI,1603249039,87,5.14,-5.02,77.07,7.72
Bakal,92,RU,1603249039,97,54.94,58.81,30.76,5.44
Nishihara,75,JP,1603249039,69,26.18,127.76,84.2,21.92
Gladstone,90,AU,1603249040,61,-23.85,151.25,78.8,12.75
Marsh Harbour,100,BS,1603249040,74,26.54,-77.06,81.7,22.06
Fortuna,1,US,1603248782,82,40.6,-124.16,57.99,10.29
Turgutlu,75,TR,1603249040,63,38.5,27.7,64.4,16.11
Belaya Gora,73,RU,1603249041,93,68.53,146.42,12.34,3.04
Tulare,0,US,1603249041,41,36.27,-118.8,68.0,1.99
Kyshtovka,100,RU,1603249041,82,56.55,76.63,43.47,10.71
Kondagaon,36,IN,1603249042,70,19.6,81.67,75.58,7.02
Pancol,100,PH,1603249042,75,10.87,119.42,84.24,13.73
Flinders,67,AU,1603249042,64,-34.58,150.86,75.99,7.0
Port Moresby,40,PG,1603249043,66,-9.44,147.18,89.6,17.22
Igarka,100,RU,1603249043,93,67.47,86.58,11.43,6.51
Mâncio Lima,100,BR,1603249043,97,-7.61,-72.9,73.02,2.44
Guánica,1,PR,1603249044,90,17.97,-66.91,75.0,2.35
Udomlya,31,RU,1603249044,97,57.88,34.99,29.79,4.97
Volterra,64,IT,1603249044,90,43.4,10.86,55.99,3.4
Nikol'sk,62,RU,1603249045,96,53.72,46.07,31.73,10.67
Kerrville,1,US,1603249045,69,30.05,-99.14,73.99,4.7
Salé,40,MA,1603249045,88,34.04,-6.82,69.01,11.41
Vestmannaeyjar,100,IS,1603249045,72,63.44,-20.27,38.28,4.68
Micheweni,6,TZ,1603249045,80,-4.97,39.83,76.33,7.81
Port Macquarie,3,AU,1603249045,50,-31.43,152.92,78.01,1.99
Barra de Tecoanapa,100,MX,1603249046,83,16.52,-98.75,81.32,3.74
Kibre Mengist,80,ET,1603249046,95,5.88,38.98,55.36,2.04
Sobolevo,100,RU,1603249046,86,54.43,31.9,35.98,7.16
Puri,40,IN,1603249017,94,19.8,85.85,80.6,5.82
Nador,99,MA,1603249047,73,35.17,-2.93,71.6,1.12
Touros,40,BR,1603248786,88,-5.2,-35.46,73.4,3.36
Verāval,60,IN,1603249011,75,20.9,70.37,83.46,7.72
Skibbereen,75,IE,1603249048,100,51.55,-9.27,48.2,1.12
Leshukonskoye,60,RU,1603249048,98,64.9,45.76,21.99,2.91
Verkhnyaya Toyma,92,RU,1603249049,97,62.23,45.0,26.06,8.39
Paamiut,97,GL,1603249049,90,61.99,-49.67,34.09,3.65
Qorveh,0,IR,1603249049,62,35.17,47.8,39.52,1.28
Orlik,48,RU,1603249049,85,52.52,99.83,22.14,3.8
Kununurra,10,AU,1603249049,39,-15.77,128.73,98.6,8.05
Constantine,0,DZ,1603249050,61,36.37,6.61,50.0,3.36
São Félix do Xingu,35,BR,1603249050,75,-6.64,-51.99,74.95,0.25
Mānikpur,5,IN,1603249050,29,25.07,81.12,79.68,4.32
Kamenka,2,RU,1603249051,93,51.32,42.77,33.51,9.91
Olafsvik,100,IS,1603249051,75,64.89,-23.71,42.91,11.36
Karasburg,0,NA,1603249051,38,-28.02,18.75,51.03,11.07
Dawei,100,MM,1603249051,80,14.08,98.2,78.62,3.89
Al Bardīyah,4,LY,1603249052,77,31.76,25.09,67.15,9.8
Kropotkin,19,RU,1603249052,59,45.44,40.58,50.0,4.36
Yong’an,0,CN,1603249053,52,39.7,113.69,40.21,13.85
Merke,0,KZ,1603249053,28,42.87,73.18,61.95,3.29
Kloulklubed,90,PW,1603249000,83,7.04,134.26,82.4,4.7
Baruun-Urt,0,MN,1603249053,74,46.68,113.28,28.13,11.39
Mezen',99,RU,1603249054,97,65.85,44.24,32.54,7.36
The Valley,20,AI,1603248884,78,18.22,-63.06,82.4,8.05
Guozhen,47,CN,1603249055,24,34.37,107.36,68.77,2.01
Orange,6,US,1603249055,83,33.7,-117.77,68.0,2.93
Faya,0,SA,1603249055,25,18.39,42.45,55.4,6.93
Korla,0,CN,1603248984,36,41.76,86.15,54.84,6.2
Ixtapa,20,MX,1603248933,83,20.7,-105.2,84.2,2.24
La Santisima Trinidad,4,BO,1603249024,64,-14.83,-64.9,77.04,1.81
Henties Bay,2,NA,1603249056,86,-22.12,14.28,57.99,3.0
Waipawa,42,NZ,1603249056,67,-41.41,175.52,62.6,24.16
Poum,1,NC,1603249056,67,-20.23,164.02,75.79,1.72
Charlottesville,1,US,1603248969,82,38.03,-78.48,62.6,0.72
Ingham,90,US,1603249058,87,42.6,-84.38,46.4,11.41
Lodeynoye Pole,28,RU,1603249058,98,60.73,33.55,29.01,2.8
Burnie,75,AU,1603249059,67,-41.07,145.92,61.0,11.01
Portland,87,US,1603248640,70,45.52,-122.68,59.0,1.99
Basco,100,PH,1603249060,87,20.45,121.97,80.91,14.65
Biltine,1,TD,1603249061,17,14.53,20.92,79.18,10.29
Poli,71,TZ,1603249061,94,-3.33,36.8,57.47,2.17
San Ramon,1,US,1603248834,40,37.78,-121.98,75.0,5.82
Podor,14,MR,1603249062,17,16.65,-14.96,88.99,8.41
Puerto Baquerizo Moreno,60,EC,1603249062,86,-0.9,-89.6,69.1,14.36
Balabac,100,PH,1603249062,74,7.99,117.06,84.67,14.79
Madingou,100,CG,1603249062,89,-4.15,13.55,74.48,3.62
Tankhoy,93,RU,1603249062,78,51.55,105.13,35.53,5.77
Takapau,100,NZ,1603249062,64,-40.03,176.35,64.99,8.01
Toora-Khem,99,RU,1603249063,86,52.47,96.11,31.69,3.22
Karlstad,100,SE,1603248991,100,59.38,13.5,46.4,9.17
Gemena,100,CD,1603249063,97,3.25,19.77,70.38,3.0
Bulungu,100,CD,1603249063,98,-4.55,18.6,70.34,2.42
Adrar,0,MR,1603249064,18,20.5,-10.07,81.63,5.66
Port Lincoln,85,AU,1603248872,65,-34.73,135.87,63.7,9.44
Avera,1,US,1603249064,94,33.19,-82.53,68.0,6.62
Pimentel,35,PE,1603249064,85,-6.84,-79.93,62.44,11.81
Jaciara,100,BR,1603248995,87,-15.97,-54.97,74.08,0.67
Iznoski,100,RU,1603249065,98,54.99,35.31,30.65,4.61
Coquimbo,0,CL,1603248844,93,-29.95,-71.34,53.6,3.36
Taksimo,82,RU,1603249065,77,56.34,114.88,24.55,2.98
Durazno,98,UY,1603249065,75,-33.41,-56.5,52.38,15.46
Port Hawkesbury,90,CA,1603249066,93,45.62,-61.35,57.2,9.17
Choix,0,MX,1603249066,43,26.71,-108.32,80.82,2.91
Tilaran,100,CR,1603249066,93,10.47,-84.97,70.07,2.17
Dudinka,38,RU,1603249066,92,69.41,86.18,6.8,2.24
Chimoré,93,BO,1603249067,93,-16.98,-65.13,72.95,2.62
Verkhoyansk,88,RU,1603249067,87,67.54,133.38,9.91,3.11
Kreminna,15,UA,1603249025,77,49.05,38.22,39.49,6.51
Ouro Branco,59,BR,1603248883,97,-20.52,-43.69,59.31,1.61
Almeirim,47,BR,1603249067,80,-1.52,-52.58,77.94,5.82
Mafinga,91,TZ,1603249067,70,-7.25,35.07,65.61,0.65
Jalu,0,LY,1603249068,66,29.03,21.55,64.2,10.54
Vavozh,26,RU,1603249068,98,56.78,51.93,31.24,10.18
Kiryat Gat,12,IL,1603248964,100,31.61,34.76,73.0,3.74
Pará de Minas,96,BR,1603249068,95,-19.86,-44.61,63.05,3.51
Eenhana,0,NA,1603249068,28,-17.47,16.33,75.2,4.7
Harnai,0,PK,1603249069,17,30.1,67.94,70.66,3.36
Mildura,75,AU,1603248781,24,-34.2,142.15,80.01,4.7
Pontianak,70,ID,1603249069,55,-0.03,109.33,91.47,2.89
Roberval,5,CA,1603249069,92,48.52,-72.23,30.2,5.82
Viedma,72,AR,1603249069,71,-40.81,-63.0,47.82,9.55
Bathsheba,40,BB,1603249070,78,13.22,-59.52,82.4,8.05
Naujamiestis,100,LT,1603249070,93,55.69,24.15,42.8,14.99
Riyadh,0,SA,1603249070,27,24.69,46.72,60.8,8.77
Chunskiy,100,RU,1603249070,94,56.08,99.63,34.57,5.57
Suoyarvi,21,RU,1603249070,98,62.08,32.35,25.25,3.44
Kananga,100,CD,1603249070,98,-5.9,22.42,69.57,1.54
Casalpusterlengo,63,IT,1603249071,87,45.18,9.65,52.0,1.41
San Juan,0,AR,1603249071,49,-31.54,-68.54,64.06,14.81
Lüderitz,0,NA,1603249071,45,-26.65,15.16,61.88,14.0
Salinas,1,US,1603248991,77,36.68,-121.66,61.0,8.05
Mudgee,40,AU,1603249072,56,-32.59,149.59,75.99,8.05
Longyearbyen,40,SJ,1603249072,68,78.22,15.64,26.6,6.93
Egvekinot,98,RU,1603249073,100,66.32,-179.17,33.94,6.26
Raudeberg,100,NO,1603249014,93,61.99,5.14,44.01,11.54
Isiro,66,CD,1603249073,96,2.77,27.62,65.53,1.86
Bayir,75,TR,1603249073,82,37.27,28.22,60.8,3.36
Port-Cartier,20,CA,1603249025,84,50.03,-66.87,37.99,10.29
Grand Gaube,1,MU,1603248844,68,-20.01,57.66,77.0,8.99
Shamkhal,40,RU,1603249074,87,43.06,47.34,55.4,6.71
Shakawe,0,BW,1603249074,23,-18.37,21.85,68.27,6.51
